################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.2491143346309114E-01 a         1     0     1     1     1
  3.0200727606415972E-01 a         2     0     1     1     2
  2.8128707357600152E-01 a         3     0     1     1     3
  3.4658897088388024E-01 a         4     0     1     1     4
 -4.0911025573255982E-01 a         5     0     1     1     5
 -5.7129963809594885E-03 a         6     0     1     1     6
 -5.3223784068653551E-02 a         7     0     1     1     7
  1.2701073851404188E-01 a         8     0     1     1     8
  6.9861242160055750E-02 a         9     0     1     1     9
 -7.9387807269712868E-02 a        10     0     1     1    10
 -7.3719507309157398E-02 a        11     0     1     1    11
 -1.6739573349675949E-01 a        12     0     1     1    12
  2.5298642748157285E-01 a        13     0     1     1    13
  2.0090298748238919E-01 a        14     0     1     1    14
  7.1370597796011681E-02 a        15     0     1     1    15
  1.4402335653798329E-01 a        16     0     1     1    16
 -1.4799265482568758E-01 a        17     0     1     1    17
  2.0380563361888682E-01 a        18     0     1     1    18
  2.5898277982518797E-01 a        19     0     1     1    19
  2.3059366830230889E-02 a        20     0     1     1    20
 -2.5505918377905651E-01 a        21     0     2     1     1
  1.0471491194703555E-01 a        22     0     2     1     2
 -2.6620630581620525E-02 a        23     0     2     1     3
  1.0841299910254848E-01 a        24     0     2     1     4
 -1.6457939770094179E-01 a        25     0     2     1     5
 -2.9843920908978427E-01 a        26     0     2     1     6
 -1.4533778308288522E-01 a        27     0     2     1     7
  2.4040305465081480E-01 a        28     0     2     1     8
 -2.9315062074192905E-02 a        29     0     2     1     9
 -1.4868070877895939E-01 a        30     0     2     1    10
  1.3992366432183978E-01 a        31     0     2     1    11
 -1.3971290469237518E-01 a        32     0     2     1    12
 -1.8038861712502569E-01 a        33     0     2     1    13
  1.2963779799602598E-01 a        34     0     2     1    14
  3.9354120174007926E-02 a        35     0     2     1    15
  1.7560797285956647E-02 a        36     0     2     1    16
 -1.5437285026168077E-01 a        37     0     2     1    17
  1.1032375970607933E-01 a        38     0     2     1    18
  1.4789707954878428E-01 a        39     0     2     1    19
  2.9130071542082520E-01 a        40     0     2     1    20
 -2.1252402340093213E-01 a        41     0     3     1     1
  1.0064539615116298E-01 a        42     0     3     1     2
  2.0526032823319353E-02 a        43     0     3     1     3
  3.6026461274602198E-02 a        44     0     3     1     4
 -7.4764585718349624E-02 a        45     0     3     1     5
  1.1845302152071550E-01 a        46     0     3     1     6
 -2.3186176363146216E-01 a        47     0     3     1     7
 -8.0241055725052982E-02 a        48     0     3     1     8
  1.1985510000458442E-02 a        49     0     3     1     9
  2.1509756261645810E-01 a        50     0     3     1    10
  2.0933645093852654E-01 a        51     0     3     1    11
  1.6980764113130853E-01 a        52     0     3     1    12
  1.6844586293259442E-01 a        53     0     3     1    13
 -1.5061131198154798E-01 a        54     0     3     1    14
 -5.9502665156679159E-02 a        55     0     3     1    15
 -2.2108795959706742E-01 a        56     0     3     1    16
 -1.0787176772277855E-01 a        57     0     3     1    17
  3.1442903515649995E-01 a        58     0     3     1    18
 -1.4726039742275826E-01 a        59     0     3     1    19
 -1.4921241386807538E-01 a        60     0     3     1    20
  1.2398221711892997E-01 a        61     0     4     1     1
 -1.5403205987429766E-01 a        62     0     4     1     2
 -2.4549216154347717E-01 a        63     0     4     1     3
  1.1137803587540000E-01 a        64     0     4     1     4
 -1.0984649351981890E-01 a        65     0     4     1     5
 -1.1794645204972551E-01 a        66     0     4     1     6
  9.4543129181460947E-02 a        67     0     4     1     7
  3.1570860105885173E-01 a        68     0     4     1     8
  2.7194515168965844E-01 a        69     0     4     1     9
 -9.0180775626872808E-02 a        70     0     4     1    10
 -2.7716429696698430E-01 a        71     0     4     1    11
 -6.0994230840120088E-03 a        72     0     4     1    12
 -1.7721506865486589E-01 a        73     0     4     1    13
 -3.0103723278521222E-01 a        74     0     4     1    14
 -1.9038200578486358E-01 a        75     0     4     1    15
 -2.1422436566812525E-01 a        76     0     4     1    16
 -3.1232213258309438E-02 a        77     0     4     1    17
 -2.1694132171294792E-02 a        78     0     4     1    18
  2.3332520066248594E-01 a        79     0     4     1    19
 -2.9153431824034465E-01 a        80     0     4     1    20
 -1.0028486496654761E-01 a        81     0     5     1     1
  1.6146011779054220E-01 a        82     0     5     1     2
 -5.6823158658976886E-02 a        83     0     5     1     3
 -4.4354726503278055E-02 a        84     0     5     1     4
 -1.0736303340175928E-01 a        85     0     5     1     5
  2.0955790147707756E-01 a        86     0     5     1     6
 -1.5892523981304010E-01 a        87     0     5     1     7
 -1.0921141545135490E-01 a        88     0     5     1     8
  2.5642961370693029E-01 a        89     0     5     1     9
  2.8241304163788544E-01 a        90     0     5     1    10
  3.0711024840675100E-01 a        91     0     5     1    11
  2.0042684993005235E-02 a        92     0     5     1    12
  2.6669460227609426E-01 a        93     0     5     1    13
 -2.0681650068043014E-01 a        94     0     5     1    14
  1.6768118006418788E-02 a        95     0     5     1    15
  9.4789808523534233E-02 a        96     0     5     1    16
 -3.2411812970398114E-02 a        97     0     5     1    17
  3.0982657628659643E-01 a        98     0     5     1    18
  1.9439811787793901E-01 a        99     0     5     1    19
  1.1384607263408308E-01 a       100     0     5     1    20
 -1.7651516861758551E-01 a       101     0     6     1     1
 -5.2984393696897669E-03 a       102     0     6     1     2
 -4.6643231434385479E-02 a       103     0     6     1     3
 -2.9840010355408109E-01 a       104     0     6     1     4
 -1.3042628924794281E-01 a       105     0     6     1     5
 -1.4332558784646074E-01 a       106     0     6     1     6
 -1.3536283195504312E-02 a       107     0     6     1     7
  2.5970349246623243E-02 a       108     0     6     1     8
  1.8882146223504678E-01 a       109     0     6     1     9
  1.0247110169721152E-01 a       110     0     6     1    10
  2.8048296145499710E-02 a       111     0     6     1    11
 -6.1075501458260455E-02 a       112     0     6     1    12
  1.5928350070998076E-01 a       113     0     6     1    13
  2.5001721248469927E-01 a       114     0     6     1    14
  3.0496738681662038E-02 a       115     0     6     1    15
  3.1171953057693796E-01 a       116     0     6     1    16
 -2.0306399980082360E-01 a       117     0     6     1    17
 -8.6037194837911973E-02 a       118     0     6     1    18
 -1.9444516380440416E-01 a       119     0     6     1    19
  6.9648722040758421E-02 a       120     0     6     1    20
 -2.6259859620384473E-02 a       121     0     7     1     1
 -1.8218088410314334E-01 a       122     0     7     1     2
  1.3320932502975760E-01 a       123     0     7     1     3
 -3.0821206085062369E-01 a       124     0     7     1     4
  2.3476683941039633E-01 a       125     0     7     1     5
  1.4081348672611119E-01 a       126     0     7     1     6
 -2.0728437555204199E-01 a       127     0     7     1     7
 -2.7318747241416297E-01 a       128     0     7     1     8
 -2.6652260727771582E-01 a       129     0     7     1     9
  1.0155278733849570E-01 a       130     0     7     1    10
  9.3468939446981342E-03 a       131     0     7     1    11
  1.7936964199532507E-01 a       132     0     7     1    12
  2.3514480500989643E-02 a       133     0     7     1    13
 -1.0333816466608195E-01 a       134     0     7     1    14
 -1.2698099480174385E-01 a       135     0     7     1    15
 -7.9646239743023442E-02 a       136     0     7     1    16
 -6.5137742333122833E-02 a       137     0     7     1    17
 -2.6047583255488799E-01 a       138     0     7     1    18
 -1.0091036898460035E-01 a       139     0     7     1    19
 -2.0728256771122680E-02 a       140     0     7     1    20
  6.1055463480638644E-02 a       141     0     8     1     1
  1.9718552867937431E-01 a       142     0     8     1     2
  2.6726981800522620E-01 a       143     0     8     1     3
 -2.5030251653521646E-01 a       144     0     8     1     4
  2.2494425944060059E-01 a       145     0     8     1     5
  3.6496704233084531E-01 a       146     0     8     1     6
 -2.2980429541812988E-01 a       147     0     8     1     7
 -2.4668424795675381E-01 a       148     0     8     1     8
 -9.6047574086895557E-02 a       149     0     8     1     9
 -1.4724320057692827E-01 a       150     0     8     1    10
  1.4400185282886599E-01 a       151     0     8     1    11
  2.5229036222712564E-01 a       152     0     8     1    12
 -1.9746747791815292E-02 a       153     0     8     1    13
  8.9607343252480168E-02 a       154     0     8     1    14
  1.9010012230395854E-01 a       155     0     8     1    15
 -1.9576804658631656E-02 a       156     0     8     1    16
 -2.5950404685251421E-02 a       157     0     8     1    17
 -1.6466384673092418E-01 a       158     0     8     1    18
 -7.5596917309320569E-02 a       159     0     8     1    19
 -1.5688197365100465E-01 a       160     0     8     1    20
 -1.3562030616973786E-01 a       161     0     9     1     1
  3.1650544488507577E-02 a       162     0     9     1     2
 -5.2246664723828752E-03 a       163     0     9     1     3
 -1.6002761530709778E-01 a       164     0     9     1     4
 -2.8128122973381120E-01 a       165     0     9     1     5
 -1.9487385920861744E-01 a       166     0     9     1     6
  3.4062839134443729E-01 a       167     0     9     1     7
  2.8565738827554799E-01 a       168     0     9     1     8
 -8.0655887630258633E-02 a       169     0     9     1     9
 -2.4629690104544558E-01 a       170     0     9     1    10
  1.2132768166676282E-01 a       171     0     9     1    11
  1.2972350235523247E-01 a       172     0     9     1    12
  4.2311097219332566E-01 a       173     0     9     1    13
 -2.0077675456409647E-01 a       174     0     9     1    14
  7.6494653505978255E-02 a       175     0     9     1    15
 -1.6216822523722893E-01 a       176     0     9     1    16
 -2.6178824850874938E-01 a       177     0     9     1    17
 -2.8214589733995779E-02 a       178     0     9     1    18
  2.5588165478339736E-01 a       179     0     9     1    19
 -1.5949758094372485E-01 a       180     0     9     1    20
  3.2571382482777939E-02 a       181     0    10     1     1
 -1.3278540978780373E-02 a       182     0    10     1     2
 -2.7253939630519253E-01 a       183     0    10     1     3
 -1.1508644322207204E-01 a       184     0    10     1     4
  1.7388252740401078E-01 a       185     0    10     1     5
  5.1601354249284984E-02 a       186     0    10     1     6
  2.0883854577126915E-01 a       187     0    10     1     7
 -2.3532894818096792E-01 a       188     0    10     1     8
  2.6209949908050062E-01 a       189     0    10     1     9
  1.6431930847359935E-01 a       190     0    10     1    10
 -8.7771591823257139E-02 a       191     0    10     1    11
  2.6009753428715005E-01 a       192     0    10     1    12
 -8.4410024793531380E-02 a       193     0    10     1    13
 -6.4038054874120107E-02 a       194     0    10     1    14
  2.8405195487569923E-01 a       195     0    10     1    15
  4.3548878178472680E-02 a       196     0    10     1    16
  1.2632161841492109E-01 a       197     0    10     1    17
  1.4633663814532724E-01 a       198     0    10     1    18
  4.3375080656288478E-02 a       199     0    10     1    19
