rank,epoch,train_step,traj,frame,frame_index,force_mae,force_rmse,energy_abs_error,epistemic_mean,epistemic_p95,epistemic_max,aleatoric_mean,aleatoric_p95,aleatoric_max
1,95,1620,a,27376,13688,0.004671512637287378,0.006462091114372015,0.01025390625,0.001626094919629395,0.0024590350221842527,0.003518669167533517,0.003294536843895912,0.0045787314884364605,0.006189204286783934
2,95,1620,a,28904,14452,0.004715850111097097,0.006514088250696659,0.009033203125,0.0016099698841571808,0.002430455293506384,0.00399089977145195,0.003266324754804373,0.0045694089494645596,0.006757599767297506
3,95,1620,a,27904,13952,0.004748394247144461,0.0064608254469931126,0.01171875,0.0016298579284921288,0.002423142548650503,0.0034884109627455473,0.003302370198071003,0.004561759065836668,0.00623456621542573
4,95,1620,a,27016,13508,0.004555468447506428,0.006196090020239353,0.0087890625,0.0016050278209149837,0.0024210275150835514,0.0037676694337278605,0.003260882804170251,0.004525031894445419,0.0065551381558179855
5,95,1620,a,28272,14136,0.004409349523484707,0.005948643200099468,0.01025390625,0.0016108338022604585,0.0024156570434570312,0.003531042020767927,0.003267892636358738,0.004545175936073065,0.0061578000895679
6,95,1620,a,29120,14560,0.004638195037841797,0.006423098500818014,0.009765625,0.0016129693249240518,0.0024151501711457968,0.0036967929918318987,0.0032722281757742167,0.004531131125986576,0.006307054311037064
7,95,1620,a,28056,14028,0.004866429138928652,0.006832135375589132,0.000732421875,0.001625387230888009,0.0024085133336484432,0.003492924151942134,0.0032942991238087416,0.004538530949503183,0.006000990513712168
8,95,1620,a,27192,13596,0.004575633443892002,0.006205486133694649,0.01318359375,0.001619106624275446,0.0024073817767202854,0.003686001291498542,0.003283055266365409,0.004523560870438814,0.006354716140776873
9,95,1620,a,27384,13692,0.004488429054617882,0.005969746969640255,0.010498046875,0.001603466342203319,0.002406835788860917,0.00345417857170105,0.0032604853622615337,0.0045126574113965034,0.005995857995003462
10,95,1620,a,27520,13760,0.00460357591509819,0.00642683170735836,0.025634765625,0.0015986330108717084,0.0024063230957835913,0.0032938942313194275,0.0032501565292477608,0.004486646968871355,0.005841653328388929
11,95,1620,a,26992,13496,0.004781123250722885,0.006442157085984945,0.009521484375,0.0016214641509577632,0.0024013554211705923,0.0038311667740345,0.003288060426712036,0.004508750978857279,0.006536879111081362
12,95,1620,a,27896,13948,0.004898781888186932,0.006666683591902256,0.01025390625,0.0016095867613330483,0.0024004566948860884,0.0036327491980046034,0.003270178334787488,0.0045388247817754745,0.006451272405683994
13,95,1620,a,27064,13532,0.004641692154109478,0.006306912284344435,0.008056640625,0.0016182512044906616,0.002400382421910763,0.003575151087716222,0.0032809539698064327,0.0045184362679719925,0.006284940987825394
14,95,1620,a,27936,13968,0.004881690721958876,0.007008104119449854,0.019775390625,0.0016316197579726577,0.0023992096539586782,0.003924640826880932,0.0033048163168132305,0.0045282356441020966,0.0067409127950668335
15,95,1620,a,28000,14000,0.0048842537216842175,0.0067991712130606174,0.000244140625,0.0016144943656399846,0.0023983281571418047,0.003671764163300395,0.003276906441897154,0.004508367273956537,0.006391400471329689
16,95,1620,b,27030,29730,0.00464058481156826,0.006249904632568359,0.010498046875,0.0016166387358680367,0.002397585893049836,0.003956617787480354,0.0032773823477327824,0.0045334999449551105,0.006667014677077532
17,95,1620,a,27360,13680,0.004796987399458885,0.006632363889366388,0.006103515625,0.001601533149369061,0.0023975339718163013,0.0038911658339202404,0.0032543991692364216,0.004511058796197176,0.006724379491060972
18,95,1620,a,28872,14436,0.004757926799356937,0.006622997112572193,0.01025390625,0.00160657474771142,0.002397281816229224,0.0038802919443696737,0.0032587158493697643,0.00451107881963253,0.006705835927277803
19,95,1620,b,26950,29690,0.004583768080919981,0.00620524724945426,0.022705078125,0.0016171312890946865,0.00239682849496603,0.0038902643136680126,0.0032779700122773647,0.004494995344430208,0.0064459010027348995
20,95,1620,b,26206,29318,0.004789311904460192,0.006556134670972824,0.005126953125,0.0016160962404683232,0.0023953495547175407,0.004001514054834843,0.0032776882871985435,0.004505330231040716,0.006846414413303137
21,95,1620,a,28344,14172,0.004616490099579096,0.0061810859479010105,0.00048828125,0.0016131699085235596,0.002394404960796237,0.0037441605236381292,0.003272154601290822,0.0044975378550589085,0.006412337068468332
22,95,1620,a,27160,13580,0.004538558889180422,0.006150098983198404,0.003662109375,0.0016021155752241611,0.0023938515223562717,0.004013596102595329,0.0032562739215791225,0.004515194799751043,0.006855475716292858
23,95,1620,a,27528,13764,0.0048727416433393955,0.006686266977339983,0.029541015625,0.0016161518869921565,0.002393207512795925,0.004164026118814945,0.0032757401932030916,0.004523068200796843,0.007075119763612747
24,95,1620,a,28960,14480,0.004589960910379887,0.006335967220366001,0.001708984375,0.001611151616089046,0.0023931488394737244,0.003942351788282394,0.0032700507435947657,0.004515693988651037,0.00655025290325284
25,95,1620,a,27024,13512,0.004604943562299013,0.00623703096061945,0.002685546875,0.0016155001940205693,0.0023916135542094707,0.003896476235240698,0.0032766838558018208,0.004500249866396189,0.006683389190584421
26,95,1620,a,27288,13644,0.004735968075692654,0.006376911420375109,0.015380859375,0.0016201665857806802,0.002391183516010642,0.003172909375280142,0.00328538054600358,0.004515693988651037,0.0054489183239638805
27,95,1620,b,26814,29622,0.004744613077491522,0.006886327173560858,0.0068359375,0.0016161520034074783,0.0023893024772405624,0.003664561780169606,0.0032745222561061382,0.004491071216762066,0.006320187356323004
28,95,1620,a,28304,14152,0.00479706609621644,0.006803152617067099,0.0,0.0016122192610055208,0.002388410735875368,0.0037810869980603456,0.0032738333102315664,0.004492369946092367,0.006602398119866848
29,95,1620,a,28576,14288,0.004448890220373869,0.005978252738714218,0.000732421875,0.00160914845764637,0.0023880882654339075,0.003431140212342143,0.0032672917004674673,0.0045188781805336475,0.005941765382885933
30,95,1620,a,27208,13604,0.004556913394480944,0.006195243913680315,0.011962890625,0.001611362094990909,0.0023879113141447306,0.004066440276801586,0.003270993009209633,0.004489261191338301,0.00683753052726388
31,95,1620,a,26936,13468,0.004511162638664246,0.00604677852243185,0.000244140625,0.001589045743457973,0.0023859022185206413,0.003263088408857584,0.003235634882003069,0.0045001511462032795,0.005841860082000494
32,95,1620,a,27744,13872,0.0046830265782773495,0.006355103570967913,0.01171875,0.0016109374118968844,0.002385861473158002,0.0036827009171247482,0.00327262282371521,0.004464255180209875,0.006327280309051275
33,95,1620,a,27488,13744,0.004435648676007986,0.005888707935810089,0.00537109375,0.001617077854461968,0.002385329222306609,0.0035935817286372185,0.003280262928456068,0.00451089721173048,0.0062533956952393055
34,95,1620,a,27784,13892,0.004387046210467815,0.006148024927824736,0.010009765625,0.001615331624634564,0.0023842796217650175,0.0038114674389362335,0.0032778456807136536,0.0044958991929888725,0.006561784073710442
