################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.9878822311323552E-01 a         1     0     1     1     1
  1.8018004199319593E-01 a         2     0     1     1     2
  1.1187274645511794E-01 a         3     0     1     1     3
  8.2664867422992741E-02 a         4     0     1     1     4
 -1.8308680586462725E-01 a         5     0     1     1     5
 -2.3814037250586442E-01 a         6     0     1     1     6
  7.7189626892783858E-02 a         7     0     1     1     7
  5.2676915564715918E-02 a         8     0     1     1     8
 -5.5633323729335923E-02 a         9     0     1     1     9
  1.1505271158313923E-01 a        10     0     1     1    10
  5.0654848077606861E-02 a        11     0     1     1    11
 -2.9821704156896247E-02 a        12     0     1     1    12
  8.7782963127615118E-02 a        13     0     1     1    13
  3.5449249171145453E-01 a        14     0     1     1    14
 -5.0089616930504718E-02 a        15     0     1     1    15
 -1.3056540785407682E-02 a        16     0     1     1    16
  6.2900352769351103E-02 a        17     0     1     1    17
 -2.3972867987207985E-01 a        18     0     1     1    18
  1.9315325385471135E-01 a        19     0     1     1    19
 -2.0290404807311462E-02 a        20     0     1     1    20
  8.9741428709197088E-03 a        21     0     2     1     1
 -1.3178607393031092E-01 a        22     0     2     1     2
  1.1212342465725914E-01 a        23     0     2     1     3
  2.5788150968629764E-01 a        24     0     2     1     4
 -3.2946758301913251E-02 a        25     0     2     1     5
  3.7495569124960393E-01 a        26     0     2     1     6
 -3.2138483796980905E-01 a        27     0     2     1     7
  1.3278669931860417E-02 a        28     0     2     1     8
  1.6760418133541924E-01 a        29     0     2     1     9
 -1.2005333641780326E-01 a        30     0     2     1    10
  1.5559645092902294E-01 a        31     0     2     1    11
 -3.6470882768507094E-02 a        32     0     2     1    12
  2.1619754107517500E-01 a        33     0     2     1    13
 -1.7732506945851234E-01 a        34     0     2     1    14
  3.1135844260034495E-01 a        35     0     2     1    15
 -9.5021054294193330E-02 a        36     0     2     1    16
  3.1349070459657669E-01 a        37     0     2     1    17
  2.5668490282413997E-01 a        38     0     2     1    18
 -2.5277736736010714E-01 a        39     0     2     1    19
 -2.5990524008111679E-02 a        40     0     2     1    20
  3.1761629526074011E-03 a        41     0     3     1     1
 -2.3318427568405689E-01 a        42     0     3     1     2
 -2.0030164335039891E-01 a        43     0     3     1     3
 -2.5749105284870299E-01 a        44     0     3     1     4
  2.2967659500708165E-01 a        45     0     3     1     5
 -1.7055032649295365E-01 a        46     0     3     1     6
  1.1850073559034938E-01 a        47     0     3     1     7
 -2.8461461306442709E-01 a        48     0     3     1     8
  1.1311943018248737E-02 a        49     0     3     1     9
 -2.6459620186519084E-01 a        50     0     3     1    10
 -1.0947821740892320E-01 a        51     0     3     1    11
  9.5982029465021462E-02 a        52     0     3     1    12
  8.1640406472077293E-02 a        53     0     3     1    13
  6.9816374962766922E-02 a        54     0     3     1    14
  4.2298744650811437E-01 a        55     0     3     1    15
  9.9977811414717732E-02 a        56     0     3     1    16
  2.6409822407890547E-02 a        57     0     3     1    17
  2.4529682889990961E-01 a        58     0     3     1    18
 -3.5825441246114842E-01 a        59     0     3     1    19
  9.8804574709345228E-02 a        60     0     3     1    20
 -2.1616551270190035E-01 a        61     0     4     1     1
  6.7788791246103403E-02 a        62     0     4     1     2
  2.4963210087544438E-01 a        63     0     4     1     3
  2.0869726520031009E-01 a        64     0     4     1     4
  3.7750810515227266E-02 a        65     0     4     1     5
  1.5528370247557009E-02 a        66     0     4     1     6
  1.3906387214087723E-01 a        67     0     4     1     7
  2.9498821511372358E-01 a        68     0     4     1     8
  1.9272836139077501E-01 a        69     0     4     1     9
  2.6328451322687185E-01 a        70     0     4     1    10
  2.1469712096867227E-01 a        71     0     4     1    11
 -1.2464193821235858E-01 a        72     0     4     1    12
  6.4047693256036750E-02 a        73     0     4     1    13
  1.8611524850783992E-01 a        74     0     4     1    14
 -1.2216774559792724E-01 a        75     0     4     1    15
  4.1503362567753443E-01 a        76     0     4     1    16
 -6.8247713311138528E-03 a        77     0     4     1    17
  2.0064995455983575E-01 a        78     0     4     1    18
 -1.5268553536334539E-01 a        79     0     4     1    19
  1.5047509426945191E-01 a        80     0     4     1    20
 -2.8464572076905481E-03 a        81     0     5     1     1
  1.4211552874640176E-01 a        82     0     5     1     2
 -1.2955857767323356E-01 a        83     0     5     1     3
  1.6541037327429602E-02 a        84     0     5     1     4
  3.2433100036413742E-01 a        85     0     5     1     5
  3.5040527783125031E-01 a        86     0     5     1     6
 -1.1072225268556106E-01 a        87     0     5     1     7
 -1.0516619842689480E-01 a        88     0     5     1     8
  2.6425389926600273E-01 a        89     0     5     1     9
 -2.8677589390335001E-01 a        90     0     5     1    10
  5.2574550943964944E-03 a        91     0     5     1    11
  2.2268576492270561E-01 a        92     0     5     1    12
 -1.1889186186834395E-01 a        93     0     5     1    13
  1.9468824623712169E-01 a        94     0     5     1    14
 -2.8531729451959663E-02 a        95     0     5     1    15
 -4.3547966045922475E-02 a        96     0     5     1    16
 -3.1968286256793055E-01 a        97     0     5     1    17
  8.6482668005200061E-02 a        98     0     5     1    18
  1.7998283167979595E-01 a        99     0     5     1    19
 -2.0696692133161013E-01 a       100     0     5     1    20
  2.1384883319440751E-01 a       101     0     6     1     1
  1.7782320992882858E-01 a       102     0     6     1     2
 -9.2260774356547712E-02 a       103     0     6     1     3
  4.1819240544709792E-02 a       104     0     6     1     4
  2.1322649264488858E-01 a       105     0     6     1     5
  3.0145371179567981E-01 a       106     0     6     1     6
 -3.8085101275913656E-02 a       107     0     6     1     7
 -8.0843810453529077E-02 a       108     0     6     1     8
  2.7678741132504769E-01 a       109     0     6     1     9
  1.8663136448713621E-01 a       110     0     6     1    10
  2.4696546750952345E-02 a       111     0     6     1    11
 -2.8266865459234469E-01 a       112     0     6     1    12
  1.1432841996775618E-01 a       113     0     6     1    13
 -2.0018786913765005E-01 a       114     0     6     1    14
 -1.2377465949935387E-01 a       115     0     6     1    15
 -3.6592178140288051E-01 a       116     0     6     1    16
  1.1762673889830474E-01 a       117     0     6     1    17
  8.6700663149121449E-02 a       118     0     6     1    18
  8.6794370651830641E-02 a       119     0     6     1    19
 -4.7333945420096953E-02 a       120     0     6     1    20
  1.8441126101458764E-02 a       121     0     7     1     1
 -2.6941387909846354E-01 a       122     0     7     1     2
  4.6592196167936299E-02 a       123     0     7     1     3
 -3.4799405402749173E-02 a       124     0     7     1     4
 -2.1204410849193384E-01 a       125     0     7     1     5
  1.8339701229067487E-01 a       126     0     7     1     6
 -2.9270034756042856E-01 a       127     0     7     1     7
 -1.2061067236716941E-01 a       128     0     7     1     8
 -1.6957080210470041E-01 a       129     0     7     1     9
 -2.0018684712006116E-01 a       130     0     7     1    10
  2.7961952960940428E-01 a       131     0     7     1    11
  1.1735451803961425E-01 a       132     0     7     1    12
 -5.7511189965823196E-02 a       133     0     7     1    13
 -3.2206278392784865E-01 a       134     0     7     1    14
 -1.7296082853232014E-01 a       135     0     7     1    15
 -2.1928445740980446E-01 a       136     0     7     1    16
 -1.5291692579545163E-01 a       137     0     7     1    17
 -1.7420183354100194E-01 a       138     0     7     1    18
  3.2563522317160265E-01 a       139     0     7     1    19
  2.4687923557531150E-01 a       140     0     7     1    20
 -8.1790964046980483E-02 a       141     0     8     1     1
  7.1115038262372962E-02 a       142     0     8     1     2
  7.0989882017805525E-02 a       143     0     8     1     3
  1.0463878682909689E-01 a       144     0     8     1     4
  5.1240243182063022E-02 a       145     0     8     1     5
  1.4432462420611884E-02 a       146     0     8     1     6
 -1.1684398404160307E-01 a       147     0     8     1     7
 -2.9278548445276244E-02 a       148     0     8     1     8
  3.6343903582852988E-01 a       149     0     8     1     9
 -9.4088081915726776E-02 a       150     0     8     1    10
  2.0442828790505757E-01 a       151     0     8     1    11
 -2.3255300697645681E-01 a       152     0     8     1    12
  2.0766934829417918E-01 a       153     0     8     1    13
 -4.9947162470527301E-02 a       154     0     8     1    14
  1.9651921584731030E-01 a       155     0     8     1    15
 -2.5756124624183407E-01 a       156     0     8     1    16
  3.8103516640777874E-01 a       157     0     8     1    17
  8.4764396057566494E-05 a       158     0     8     1    18
 -2.5277986380214706E-01 a       159     0     8     1    19
  1.5748610576928590E-01 a       160     0     8     1    20
  1.7937953975873469E-03 a       161     0     9     1     1
 -1.9204646418337235E-01 a       162     0     9     1     2
 -2.5362890099145274E-01 a       163     0     9     1     3
  2.0938153936639758E-01 a       164     0     9     1     4
 -2.1368908122710795E-01 a       165     0     9     1     5
 -5.9334690319943713E-02 a       166     0     9     1     6
 -3.8757457144781159E-03 a       167     0     9     1     7
 -2.7151276960225323E-01 a       168     0     9     1     8
  2.0799275909659717E-01 a       169     0     9     1     9
  1.2500899810715382E-01 a       170     0     9     1    10
  2.5536090119528437E-01 a       171     0     9     1    11
  2.8317627898703390E-01 a       172     0     9     1    12
 -2.5516100858242680E-01 a       173     0     9     1    13
  2.0445445094143425E-01 a       174     0     9     1    14
  3.8568319549159777E-02 a       175     0     9     1    15
  2.8338391584066064E-01 a       176     0     9     1    16
 -3.7993070770136661E-01 a       177     0     9     1    17
 -1.2352863052861555E-01 a       178     0     9     1    18
 -2.7748220431760323E-01 a       179     0     9     1    19
 -5.3903649925202473E-03 a       180     0     9     1    20
 -1.1701142498844032E-01 a       181     0    10     1     1
 -7.1136834871696641E-02 a       182     0    10     1     2
 -2.9422802950099275E-01 a       183     0    10     1     3
  4.1249293240388500E-02 a       184     0    10     1     4
 -1.1003962360912697E-01 a       185     0    10     1     5
  3.0378492981612554E-01 a       186     0    10     1     6
 -3.4318725549914832E-03 a       187     0    10     1     7
  2.4084798656778522E-01 a       188     0    10     1     8
 -1.1613003095513423E-01 a       189     0    10     1     9
  3.0715192240623190E-01 a       190     0    10     1    10
  1.9145276738105524E-01 a       191     0    10     1    11
  2.1277047923567723E-02 a       192     0    10     1    12
 -2.2071198586303456E-01 a       193     0    10     1    13
