################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.1781749673072937E-01 a         1     0     1     1     1
 -1.1042464244725961E-01 a         2     0     1     1     2
  2.5267295960652447E-01 a         3     0     1     1     3
 -2.6524490111889804E-01 a         4     0     1     1     4
  8.2687979829619326E-02 a         5     0     1     1     5
 -1.8805821300645129E-01 a         6     0     1     1     6
  3.3748529630089091E-01 a         7     0     1     1     7
  5.7770730033562989E-01 a         8     0     1     1     8
 -1.2793395059932444E-01 a         9     0     1     1     9
  2.4438334578758619E-01 a        10     0     1     1    10
  2.2512740724221969E-01 a        11     0     1     1    11
  9.9896649993073794E-02 a        12     0     1     1    12
 -4.2899495273092746E-02 a        13     0     1     1    13
 -4.4672713279733206E-01 a        14     0     1     1    14
  3.7588913613431335E-01 a        15     0     1     1    15
 -1.1142843553400066E-01 a        16     0     1     1    16
 -8.9248803230582818E-02 a        17     0     1     1    17
  6.7651946216698872E-02 a        18     0     1     1    18
 -1.5013419634799581E-02 a        19     0     1     1    19
 -3.1174448108294919E-02 a        20     0     1     1    20
  8.8205148283426755E-03 a        21     0     2     1     1
 -5.3323711367281677E-03 a        22     0     2     1     2
  4.1937807609839055E-02 a        23     0     2     1     3
  9.4882528349626835E-02 a        24     0     2     1     4
 -4.1193356685260286E-02 a        25     0     2     1     5
  1.5569095514458758E-01 a        26     0     2     1     6
 -2.2023566570352290E-01 a        27     0     2     1     7
  2.3169628551247840E-02 a        28     0     2     1     8
 -1.5768935387113114E-01 a        29     0     2     1     9
 -2.5211539751387191E-01 a        30     0     2     1    10
  7.3870184635348987E-02 a        31     0     2     1    11
  1.8868934839719190E-01 a        32     0     2     1    12
  2.0001504930781545E-02 a        33     0     2     1    13
  8.5789123947908261E-02 a        34     0     2     1    14
 -2.5118847886349394E-01 a        35     0     2     1    15
 -2.3874647020387652E-01 a        36     0     2     1    16
 -4.3912152674995097E-02 a        37     0     2     1    17
  1.2592758640586418E-01 a        38     0     2     1    18
