################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.3164688044150391E-01 a         1     0     1     1     1
  3.9772988062167508E-01 a         2     0     1     1     2
  3.2817846040120924E-01 a         3     0     1     1     3
  1.9672536128714874E-01 a         4     0     1     1     4
 -4.6282550746978673E-01 a         5     0     1     1     5
  8.3098791386974166E-02 a         6     0     1     1     6
  8.2239053259592701E-02 a         7     0     1     1     7
 -2.3200564182642561E-01 a         8     0     1     1     8
  3.9703718500440306E-02 a         9     0     1     1     9
 -3.6764478867241795E-02 a        10     0     1     1    10
  8.3857880591374195E-02 a        11     0     1     1    11
  3.8459919458943614E-02 a        12     0     1     1    12
  2.1973234774581415E-01 a        13     0     1     1    13
  2.6385075555858006E-01 a        14     0     1     1    14
 -2.7016482513752488E-01 a        15     0     1     1    15
  2.4624552607049138E-02 a        16     0     1     1    16
 -2.7094852725523128E-01 a        17     0     1     1    17
 -7.6985319194948304E-02 a        18     0     1     1    18
 -1.0356997950661186E-01 a        19     0     1     1    19
 -4.7350531245115457E-02 a        20     0     1     1    20
  1.1909769062083805E-01 a        21     0     2     1     1
 -4.2736931239857501E-01 a        22     0     2     1     2
 -1.1575361388244867E-01 a        23     0     2     1     3
  4.4841373820142381E-02 a        24     0     2     1     4
  2.7481415470812243E-01 a        25     0     2     1     5
 -5.5040231924230902E-02 a        26     0     2     1     6
  3.9451511500604233E-02 a        27     0     2     1     7
 -1.1127388268627762E-01 a        28     0     2     1     8
  5.5431793428359029E-02 a        29     0     2     1     9
  7.2671813346745912E-02 a        30     0     2     1    10
 -1.2270899451469212E-01 a        31     0     2     1    11
 -9.2284885349788653E-02 a        32     0     2     1    12
 -9.5847645769685227E-02 a        33     0     2     1    13
  1.4944449551010867E-02 a        34     0     2     1    14
  1.8610226237954199E-02 a        35     0     2     1    15
 -3.1974697613177094E-01 a        36     0     2     1    16
 -2.1940935085716731E-01 a        37     0     2     1    17
 -5.1825179248660952E-02 a        38     0     2     1    18
 -2.8154615359314550E-01 a        39     0     2     1    19
  3.6419296952638777E-02 a        40     0     2     1    20
 -9.5147682141298456E-03 a        41     0     3     1     1
  2.1012701875827769E-01 a        42     0     3     1     2
  5.6065187601723229E-02 a        43     0     3     1     3
 -2.2344681385249029E-02 a        44     0     3     1     4
 -5.8548465605348134E-02 a        45     0     3     1     5
 -1.4092237958828710E-01 a        46     0     3     1     6
 -1.4579219817017533E-01 a        47     0     3     1     7
  9.4551399264653266E-02 a        48     0     3     1     8
 -8.4984280345606775E-02 a        49     0     3     1     9
  2.5240591698154992E-02 a        50     0     3     1    10
 -2.4802409687635432E-02 a        51     0     3     1    11
  4.0151194007031252E-02 a        52     0     3     1    12
 -2.5979669338646028E-01 a        53     0     3     1    13
  8.6746658409452324E-02 a        54     0     3     1    14
  1.1951592260233519E-01 a        55     0     3     1    15
 -4.0735072711339339E-02 a        56     0     3     1    16
  1.8238199782680287E-01 a        57     0     3     1    17
  1.2197692295756191E-01 a        58     0     3     1    18
 -2.0475282147021276E-01 a        59     0     3     1    19
  5.8315533338340921E-02 a        60     0     3     1    20
 -3.2163714805625221E-01 a        61     0     4     1     1
 -2.1330462485447801E-01 a        62     0     4     1     2
 -1.8276148116649954E-01 a        63     0     4     1     3
 -2.3701978048960565E-01 a        64     0     4     1     4
 -6.0571765466830785E-01 a        65     0     4     1     5
  2.7585118438224454E-01 a        66     0     4     1     6
  2.0714258144769790E-01 a        67     0     4     1     7
  4.9015544196383973E-02 a        68     0     4     1     8
  3.6969244688852992E-01 a        69     0     4     1     9
  1.3624384682817861E-01 a        70     0     4     1    10
 -5.3403772462722108E-04 a        71     0     4     1    11
 -3.0855729484014827E-01 a        72     0     4     1    12
  5.3644750674679498E-01 a        73     0     4     1    13
 -4.2721848843192289E-01 a        74     0     4     1    14
 -7.5448864632961521E-02 a        75     0     4     1    15
 -2.3861159355886249E-01 a        76     0     4     1    16
  2.8998467752327090E-01 a        77     0     4     1    17
  2.2565865386919762E-01 a        78     0     4     1    18
  2.9545062501718327E-02 a        79     0     4     1    19
 -6.6020836832304042E-01 a        80     0     4     1    20
  6.8513171435576475E-02 a        81     0     5     1     1
  1.0711672017933130E-01 a        82     0     5     1     2
  5.6116199160479024E-02 a        83     0     5     1     3
 -7.4271637261910703E-02 a        84     0     5     1     4
 -1.1440767476189764E-01 a        85     0     5     1     5
 -5.1325456372834727E-02 a        86     0     5     1     6
  3.7380168716939394E-01 a        87     0     5     1     7
  2.0145630524922298E-01 a        88     0     5     1     8
  2.9238706335332559E-01 a        89     0     5     1     9
 -4.5914996097485894E-01 a        90     0     5     1    10
  1.9394505940423548E-01 a        91     0     5     1    11
 -1.0125665525842814E-01 a        92     0     5     1    12
  2.5776324297077147E-01 a        93     0     5     1    13
  4.8861866300876300E-01 a        94     0     5     1    14
  1.7897355740029142E-01 a        95     0     5     1    15
  5.3072395320916521E-01 a        96     0     5     1    16
  4.1871634341252018E-01 a        97     0     5     1    17
 -1.8081568807222265E-01 a        98     0     5     1    18
 -2.3244860857507130E-01 a        99     0     5     1    19
  2.7624037131211276E-01 a       100     0     5     1    20
 -1.1394948416021754E-01 a       101     0     6     1     1
 -2.6730412621176425E-01 a       102     0     6     1     2
 -2.4503389988866565E-02 a       103     0     6     1     3
