################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1         27   0.0000000000000000E+00   4.1994954879663010E-02   5.4913484929027187E-03   5.4612645436183426E-03
         1         28   3.7624992240492196E-03   6.6481666881293935E-02   3.8947371667698280E-02   9.4362718102959930E-03
         1         29   1.2928497334027812E-03   3.7973224157005298E-02   2.0113439889351568E-02   5.3467812070180261E-03
         1         30   0.0000000000000000E+00   9.8365610520338310E-03   1.4692169312279209E-03   1.4299037224360074E-03
         1         31   1.5223007313203246E-04   9.2261418016138283E-02   2.5492167652941093E-02   1.0922645169842524E-02
         1         32   4.5004780398186306E-03   1.2072862718450152E-01   4.7143848763766309E-02   1.6012547118453721E-02
         1         33   0.0000000000000000E+00   1.9337457982871453E-02   1.0774975162621452E-03   1.6903753787058096E-03
         1         34   7.3247423197610973E-05   4.0591097605821108E-02   1.6584124350970009E-02   5.9306454861370065E-03
         1         35   0.0000000000000000E+00   2.3167548926359208E-02   9.3613176535573006E-04   1.6231397581006936E-03
         1         36   1.6599026793268272E-03   2.1119412972517260E-01   6.7443357504706536E-02   2.4463182628949438E-02
         1         37   4.4887642754297810E-02   3.2597622992562370E-01   1.6650723034269135E-01   3.7532313717276999E-02
         1         38   0.0000000000000000E+00   2.7834446146950829E-02   2.4126720606056345E-03   3.2677535550663696E-03
         1         39   7.1533568103258102E-04   3.7213201461479585E-02   1.5637064916377633E-02   5.0480997380959059E-03
         1         40   0.0000000000000000E+00   3.4142740925327479E-02   3.0139793964201640E-03   4.4480008682813779E-03
         1         41   7.1004687380904836E-08   1.7552929496546750E-02   4.8226047303941500E-03   2.3660405927549816E-03
         1         42   4.5183654353042177E-06   3.6091227205293779E-02   1.3712739323333067E-02   5.9355811455264742E-03
         1         43   0.0000000000000000E+00   3.8534301690971414E-03   1.0870306499841383E-04   2.1715098920078624E-04
         1         44   1.1622142875164746E-07   2.4624692353155557E-02   9.1489515694041148E-03   4.3654232443239875E-03
         1         45   0.0000000000000000E+00   4.4020172923536580E-03   1.0582922950092081E-04   2.2283007833580421E-04
         1         46   1.1005867901768068E-03   1.0512664353060600E-01   3.7720935450866112E-02   1.2580888810874427E-02
         1         47   3.2654729331986716E-02   2.0184342971762773E-01   1.1548107649729684E-01   2.3667703118835631E-02
         1         48   0.0000000000000000E+00   9.5935628273896064E-03   1.0167352656851769E-03   1.2784569637252347E-03
         1         49   3.2662277687942797E-04   1.4911526994123805E-02   6.5789812007267176E-03   2.0278591632947682E-03
         1         50   0.0000000000000000E+00   1.5990939269070151E-02   1.6578015647333850E-03   2.3662631018286470E-03
         2          1   1.6122910929987150E-01   3.7750139566134300E-01   3.0233664263733512E-01   2.4602902642718628E-02
         2          2   2.9651919555975860E-07   1.3715193109766540E-03   2.1270936641985163E-04   1.6320185634292753E-04
