Generated by runner2lammps.sh, original comment line:  Na12a

  480 atoms
  3 atom types

  0.0000000000000000E+00   1.6629999688598279E+01 xlo xhi
  0.0000000000000000E+00   1.6629999688598279E+01 ylo yhi
  0.0000000000000000E+00   4.4099999229264021E+01 zlo zhi

Atoms

    1   2   6.5188864069668817E+00  -3.3822678794887889E-01   8.3795920081483750E+00
    2   1   5.9136188075262934E+00   2.9847711274663097E-01   8.8690814552935162E+00
    3   1   5.9266021703396374E+00  -7.1433843061685010E-01   7.6485315777393232E+00
    4   2   5.2558938713958017E-02   5.0066873901888016E+00   7.5313114175504046E+00
    5   1  -2.3647447756774781E-01   5.9080936682911549E+00   7.9627739378849816E+00
    6   1   1.0394305110707214E+00   5.0086855633285285E+00   7.4784661939665869E+00
    7   2   1.1577945936315000E+01   7.9282329539471208E+00   2.9544122310081256E-01
    8   1   1.1535852006078592E+01   6.9771305858294115E+00   4.3233513355158104E-01
    9   1   1.0918110641476554E+01   8.3054574562848078E+00   1.0004534345930498E+00
   10   2   2.5158460358251151E+00   1.0264058195173845E+01   9.9598236343974929E+00
   11   1   2.8425621611322223E+00   1.1109284374923694E+01   9.6413049932290242E+00
   12   1   2.3175659816434986E+00   1.0480363083435270E+01   1.0896115919977724E+01
   13   2   1.3892462269705257E+01   9.3985258983978515E-01   1.0640349758092745E+01
   14   1   1.3251390011152639E+01   2.5077972504820961E-01   1.0243862147007093E+01
   15   1   1.3331695298445853E+01   1.4036584211648484E+00   1.1270136254317254E+01
   16   2   9.6083139693351942E+00   8.4600465234144195E+00   2.3362242408420189E+00
   17   1   9.2197470827080767E+00   7.6284530069128822E+00   2.6537586124024655E+00
   18   1   8.8914476591927958E+00   9.0651241482371141E+00   2.3084985301738978E+00
   19   2   2.5440469476265712E+00   3.7382824301280182E-01   4.3279636440660898E+00
   20   1   2.7810146183527471E+00  -5.8911499432485448E-01   4.2617921508377457E+00
   21   1   3.3721896995507357E+00   8.3168665169025258E-01   3.9490156115599473E+00
   22   2   6.8523844673795855E+00   3.5306867403659612E+00   3.1761374814173843E-01
   23   1   6.6427985421359317E+00   2.6069502424145150E+00   1.1742495176865143E-01
   24   1   6.6499567222368530E+00   3.5904620686737880E+00   1.3271145254704615E+00
   25   2   8.1213641138889230E+00   8.7957401400656625E+00   1.2686302307984901E+01
   26   1   7.2774656397554853E+00   8.3354475162285873E+00   1.2632567537513403E+01
   27   1   8.3138195145353251E+00   9.6940957115603563E+00   1.1371800192104546E+01
   28   2   1.3177644404537400E+01   2.6764936528161476E+00  -7.0544296174004906E-01
   29   1   1.3348605685324321E+01   3.8752472503247413E+00  -8.4881558875587848E-01
   30   1   1.2781644694838091E+01   2.3712203171792874E+00  -1.5310345503414857E+00
   31   2   1.0070788390803386E+01   1.5369710719386006E+01   1.2832859523442169E+01
   32   1   9.7080114846152785E+00   1.5972677456323542E+01   1.2079161421225820E+01
   33   1   1.1003436762125101E+01   1.5180960617554319E+01   1.2636052698609335E+01
   34   2   5.3267459370343371E+00   1.0586393262370837E+01   1.1843560615229494E+01
   35   1   4.5217478086833216E+00   1.1176692026111361E+01   1.1934225604735744E+01
   36   1   5.7610485514475442E+00   1.0793380927520197E+01   1.2726957934568295E+01
   37   2   1.2004020903488676E+01   4.2832471115837905E+00   1.1453554895772154E+01
   38   1   1.1876579156338172E+01   3.8807665686105852E+00   1.0566383484581516E+01
   39   1   1.2922839228463266E+01   4.0198428058696773E+00   1.1688934505695281E+01
   40   2   4.6100442010038165E+00   9.5360696384607966E+00   1.5464803334596732E+01
   41   1   5.1535557618447347E+00   1.0127773896867399E+01   1.4858279997640103E+01
   42   1   5.3525692556374906E+00   8.9952754025861115E+00   1.5750869125092530E+01
   43   2  -2.5268132334736397E+00   1.1799523546283057E+01   2.1252269999829911E+00
   44   1  -3.2714391216255110E+00   1.1235168224372041E+01   2.0064843969648911E+00
   45   1  -2.3054912160973449E+00   1.1744262628741915E+01   3.0821815388507630E+00
   46   2   1.2685373072806575E+01   8.5943289443406776E+00   1.3556682926346216E+01
   47   1   1.2861235063722468E+01   9.4025719873349125E+00   1.3055482258397237E+01
   48   1   1.2209743305932241E+01   8.9682280970994341E+00   1.4336357279379008E+01
   49   2  -2.9251577273843186E+00   1.5103038215231495E+01   4.1059182414456190E+00
   50   1  -3.4275400480401323E+00   1.4289828844134416E+01   4.1145205461488485E+00
   51   1  -2.0782794563891760E+00   1.4738746803872333E+01   3.6983935813199049E+00
   52   2   2.2600465357759929E+00   2.1547032288572074E+00   1.2488176244370992E+01
   53   1   1.7871123976023384E+00   2.4322968922430963E+00   1.1678454151078679E+01
   54   1   2.5913511566589924E+00   1.2777915053871780E+00   1.2215972780032045E+01
   55   2   1.4849781411669762E+00   7.2343271137092744E+00   5.1239721099971707E+00
   56   1   1.1908730905179141E+00   6.7368994792577128E+00   5.8683127716335983E+00
   57   1   3.3897700247753098E+00   6.8464973709337551E+00   4.8656521389034202E+00
   58   2   9.0233710081230531E-02   1.2564175087540506E+00   3.7032270859433849E+00
   59   1  -3.7603808703597386E-01   9.6382114232674687E-01   4.5447188621320462E+00
   60   1   1.0528964834983214E+00   1.1118013152979782E+00   3.8361447588486279E+00
   61   2   9.9447796555338073E+00   1.7482837553316834E+01   1.4787912658324659E+01
   62   1   1.0124029438939248E+01   1.6721751608091022E+01   1.4184338955128844E+01
   63   1   1.0685950545690638E+01   1.7316117627856954E+01   1.5359363717425978E+01
   64   2   6.1327886611951552E+00   1.1354983469592002E+01   8.1523421476811855E+00
   65   1   6.3497375581194646E+00   1.0412645334403356E+01   8.0084959070636472E+00
   66   1   6.3608862635505448E+00   1.1837873018591312E+01   7.3397307468298418E+00
   67   2   5.5604284756494371E+00   9.6358862186128178E+00   4.7499898764166613E+00
   68   1   4.9338964192579047E+00   8.9030451068967800E+00   4.7054003464644305E+00
   69   1   5.9711329616217128E+00   9.7263554125518805E+00   3.8378693473715009E+00
   70   2  -1.1968930104431067E-02   6.0800333977368020E+00   3.0423503703583883E+00
   71   1  -8.7063726930749330E-01   6.6160623928479190E+00   3.0639328628117100E+00
   72   1   5.5022576126381284E-01   6.4661306143313180E+00   3.8034273195716515E+00
   73   2  -5.0941778456205773E+00   1.2813576305960277E+01  -1.0943718055778595E+00
   74   1  -6.0745177836914177E+00   1.2720002429338273E+01  -9.8673557381414956E-01
   75   1  -4.9328295980053394E+00   1.3512462762085597E+01  -1.7964603129925045E+00
   76   2   5.9767417108558121E+00   5.8281926723853212E+00   6.7086482956214377E+00
   77   1   6.2112788706628237E+00   4.8194020508705577E+00   6.6311428849389999E+00
   78   1   6.8411648522025512E+00   6.3241349064123025E+00   6.7467638716034868E+00
   79   2   1.1647929622154198E+01   2.9475218145747628E+00   9.0564620465093117E+00
   80   1   1.2180273427184529E+01   3.0917310707574108E+00   8.2498700364059516E+00
   81   1   1.0691003658855692E+01   3.1562203096395711E+00   8.6477160453861170E+00
   82   2   1.2523567086905885E+01   4.5649011516913749E+00   3.7006536971778954E+00
   83   1   1.1960973925099557E+01   4.8474558514080197E+00   2.9397931814429556E+00
   84   1   1.1954295708726846E+01   4.0105546875040847E+00   4.1826796289727461E+00
   85   2   3.4949762747970641E+00   1.2835790106823474E+01   1.2375399585202805E+01
   86   1   4.1540426751513921E+00   1.3487283981322536E+01   1.2850058841076541E+01
   87   1   3.3773153099933708E+00   1.3320040699603339E+01   1.1522019843022630E+01
   88   2   1.3101348163776647E+01   2.7025122378092803E+00   6.4598450474474021E+00
   89   1   1.2290139611705337E+01   2.6070560778562379E+00   5.9540738759476239E+00
   90   1   1.3640406169229870E+01   1.9248609292450185E+00   6.2698053407583219E+00
   91   2   4.0101879676985153E+00   1.5183976927643419E+01   1.3480879349566681E+00
   92   1   3.1752103629478925E+00   1.4595655699131488E+01   1.2809491057909776E+00
   93   1   4.6527710271817266E+00   1.4784749766148773E+01   7.2887387018305905E-01
   94   2   9.3752489805225476E+00   2.9606051918805347E+00   7.8059602097703573E+00
   95   1   1.0103483075460392E+01   3.5816221634038916E+00   6.6069822411253112E+00
   96   1   9.7570535116007875E+00   2.0916242472360032E+00   7.4253918366514391E+00
   97   2   1.1620565868696769E+01   1.1335078468889986E+01   1.2901654148093614E+01
   98   1   1.1157680805714696E+01   1.0648263603247567E+01   1.3391544182385676E+01
   99   1   1.1606625753490253E+01   1.1119862627323888E+01   1.1912566381587174E+01
  100   2   1.0256235897676113E+01   6.6299728741307549E+00   1.5226121658891854E+01
  101   1   1.0328217756655039E+01   6.8568232058054397E+00   1.6124922797596202E+01
  102   1   1.0394953881964975E+01   7.5021532241785662E+00   1.4760927795748596E+01
  103   2   8.3601405123141426E+00   1.6537728646263886E+01   3.9585672601754300E+00
  104   1   8.9876600133769475E+00   1.5919851283119234E+01   3.4200834119935530E+00
  105   1   7.3869042490917352E+00   1.6265923652363021E+01   3.9325365041064995E+00
  106   2   7.5029766239151696E+00   2.8449217623054319E+00   1.0150429560699791E+01
  107   1   6.6662199253891856E+00   2.3014393062109875E+00   1.0164037352619298E+01
