################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.2132890920449040E-03 a       116     0     6     1    16
  7.5702216354942273E-02 a       117     0     6     1    17
  9.6095595761296768E-02 a       118     0     6     1    18
  2.3699534373968933E-01 a       119     0     6     1    19
 -1.1191311149033220E-01 a       120     0     6     1    20
  2.5426625972351852E-01 a       121     0     7     1     1
  1.2841409387844311E-03 a       122     0     7     1     2
 -5.2187102740954017E-01 a       123     0     7     1     3
 -3.1982579426061364E-01 a       124     0     7     1     4
 -5.0074544736042292E-01 a       125     0     7     1     5
 -3.9989505706878103E-01 a       126     0     7     1     6
 -4.4257460723712577E-01 a       127     0     7     1     7
 -1.2755307513408995E-01 a       128     0     7     1     8
 -3.4216929272267527E-01 a       129     0     7     1     9
 -2.4524183471683975E-01 a       130     0     7     1    10
 -6.0974564561507671E-01 a       131     0     7     1    11
 -2.1273962113968675E-02 a       132     0     7     1    12
  1.6319396076319972E-01 a       133     0     7     1    13
  4.8721647248127703E-01 a       134     0     7     1    14
  2.3648893010429187E-01 a       135     0     7     1    15
  3.4225027746557690E-01 a       136     0     7     1    16
  3.2960630032187593E-01 a       137     0     7     1    17
  3.3453820445700011E-01 a       138     0     7     1    18
 -6.7671087499291993E-01 a       139     0     7     1    19
  5.8938202821092001E-01 a       140     0     7     1    20
  1.5187274282441490E-01 a       141     0     8     1     1
  2.2726044292725314E-01 a       142     0     8     1     2
  1.7297442282833325E-01 a       143     0     8     1     3
 -6.2959431678385858E-02 a       144     0     8     1     4
  6.9104513383590971E-02 a       145     0     8     1     5
  2.3004469252387130E-01 a       146     0     8     1     6
  8.0781460251389423E-02 a       147     0     8     1     7
  1.8811235464550671E-01 a       148     0     8     1     8
  5.9559256093371302E-02 a       149     0     8     1     9
  4.9110822281398604E-02 a       150     0     8     1    10
 -7.2497532888146490E-02 a       151     0     8     1    11
 -2.7512682492839385E-01 a       152     0     8     1    12
  6.9624899163194462E-02 a       153     0     8     1    13
 -2.6173198778571977E-01 a       154     0     8     1    14
  2.9978960187901238E-01 a       155     0     8     1    15
 -7.0715067076909111E-02 a       156     0     8     1    16
  1.5924127700398855E-01 a       157     0     8     1    17
  3.0382729335004556E-02 a       158     0     8     1    18
  1.2763838732552030E-01 a       159     0     8     1    19
 -9.3416498393443514E-02 a       160     0     8     1    20
 -7.8250001028481647E-02 a       161     0     9     1     1
  5.2747549263165300E-02 a       162     0     9     1     2
 -4.2091357681090286E-01 a       163     0     9     1     3
 -4.4696075501268383E-02 a       164     0     9     1     4
  5.6824299451404450E-02 a       165     0     9     1     5
  1.6829117579734670E-01 a       166     0     9     1     6
 -8.5445488693431416E-03 a       167     0     9     1     7
 -3.5354938653581791E-01 a       168     0     9     1     8
  4.9484536368124325E-02 a       169     0     9     1     9
 -3.8057006096532090E-03 a       170     0     9     1    10
  3.8821032632553508E-02 a       171     0     9     1    11
  1.3490682663906278E-01 a       172     0     9     1    12
 -1.4734607994598409E-01 a       173     0     9     1    13
 -1.4562180158847812E-01 a       174     0     9     1    14
  5.4377382676198842E-02 a       175     0     9     1    15
 -6.3351740706274459E-02 a       176     0     9     1    16
 -2.0891037558344708E-01 a       177     0     9     1    17
 -2.2049153518553608E-01 a       178     0     9     1    18
 -7.8621764229643357E-02 a       179     0     9     1    19
  4.0835106214163780E-01 a       180     0     9     1    20
  7.9168223839164720E-02 a       181     0    10     1     1
  3.1314319779547817E-01 a       182     0    10     1     2
  6.6994344403502978E-02 a       183     0    10     1     3
 -6.5197519387716590E-02 a       184     0    10     1     4
  2.4220844641206848E-01 a       185     0    10     1     5
  3.5346849400990715E-01 a       186     0    10     1     6
  3.5656884836766906E-02 a       187     0    10     1     7
  2.4696164060115714E-02 a       188     0    10     1     8
  1.2564079417261045E-01 a       189     0    10     1     9
  3.7966706656683574E-01 a       190     0    10     1    10
  6.8803303560424445E-01 a       191     0    10     1    11
  2.3278994353247420E-01 a       192     0    10     1    12
 -6.3978054548851693E-02 a       193     0    10     1    13
 -4.9872467704269724E-01 a       194     0    10     1    14
  4.3218012884053231E-01 a       195     0    10     1    15
 -2.5341526784869289E-01 a       196     0    10     1    16
 -1.1335677517048780E-01 a       197     0    10     1    17
 -7.9733618125848460E-01 a       198     0    10     1    18
 -1.3954482610615912E-01 a       199     0    10     1    19
  6.3288335591844200E-02 a       200     0    10     1    20
 -2.1237756555113299E-01 a       201     0    11     1     1
  2.8342642943389185E-01 a       202     0    11     1     2
  1.1767672107713603E-01 a       203     0    11     1     3
  8.2508198522398990E-02 a       204     0    11     1     4
 -9.0683621573191639E-02 a       205     0    11     1     5
 -1.0980135427018051E-03 a       206     0    11     1     6
  1.1886166050521471E-01 a       207     0    11     1     7
  2.5771728458258397E-01 a       208     0    11     1     8
  3.6028154311255328E-01 a       209     0    11     1     9
  1.6817345737656766E-01 a       210     0    11     1    10
  2.1749158614242611E-01 a       211     0    11     1    11
