################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  7.5291207776994482E-02 a         1     0     1     1     1
  2.3792647425192003E-02 a         2     0     1     1     2
  3.1157190103434977E-02 a         3     0     1     1     3
  6.5787774255199452E-02 a         4     0     1     1     4
 -8.0471064200328790E-01 a         5     0     1     1     5
 -1.2828830332218516E-01 a         6     0     1     1     6
  2.6551411793646529E-01 a         7     0     1     1     7
  2.3451029525866116E-01 a         8     0     1     1     8
 -3.2237205506378347E-02 a         9     0     1     1     9
  1.0685882099781630E-01 a        10     0     1     1    10
  3.4973368192427456E-01 a        11     0     1     1    11
  2.4809775115925203E-02 a        12     0     1     1    12
  7.9153949146427469E-02 a        13     0     1     1    13
 -4.4979014717371790E-01 a        14     0     1     1    14
 -9.5257694222627101E-02 a        15     0     1     1    15
 -1.4954294835713474E-02 a        16     0     1     1    16
  1.8876291683416221E-01 a        17     0     1     1    17
  1.2664188021432343E-01 a        18     0     1     1    18
  1.1476177243596317E-01 a        19     0     1     1    19
 -2.6747564145790260E-02 a        20     0     1     1    20
  4.1443315508915932E-02 a        21     0     2     1     1
  6.2290618463830327E-02 a        22     0     2     1     2
 -8.2359170344592628E-02 a        23     0     2     1     3
  3.5677798111697273E-02 a        24     0     2     1     4
  1.5586846010310291E-02 a        25     0     2     1     5
  5.7025002631463748E-02 a        26     0     2     1     6
 -8.7240808052285401E-02 a        27     0     2     1     7
 -6.5239611726219948E-03 a        28     0     2     1     8
  1.3267492287241289E-01 a        29     0     2     1     9
  7.5153929087349636E-02 a        30     0     2     1    10
 -4.2748926033193380E-01 a        31     0     2     1    11
 -7.8773622888679302E-03 a        32     0     2     1    12
