rank,epoch,train_step,traj,frame,frame_index,force_mae,force_rmse,energy_abs_error,epistemic_mean,epistemic_p95,epistemic_max,aleatoric_mean,aleatoric_p95,aleatoric_max
19,99,900,a,28544,14272,0.005865689367055893,0.007830451242625713,0.019287109375,0.0017154724337160587,0.0025941519998013973,0.004043355584144592,0.0034317609388381243,0.004722224082797766,0.006704217288643122
20,99,900,b,26550,29490,0.0054809474386274815,0.007190580014139414,0.031005859375,0.0017332551069557667,0.002594086341559887,0.003555856179445982,0.003465168410912156,0.0047419024631381035,0.006151584908366203
21,99,900,a,28120,14060,0.005589227192103863,0.007317892741411924,0.010498046875,0.0017519419780001044,0.0025937948375940323,0.003858215408399701,0.0034936184529215097,0.004793207626789808,0.006587760988622904
22,99,900,a,28304,14152,0.005731274373829365,0.008196000009775162,0.002685546875,0.0017513835337013006,0.0025926572270691395,0.0037743893917649984,0.003489337395876646,0.004737237002700567,0.006231975741684437
23,99,900,b,26678,29554,0.005500394385308027,0.007239704951643944,0.006591796875,0.0017425557598471642,0.0025917671155184507,0.003967280499637127,0.00348035735078156,0.004772469867020845,0.006628388073295355
24,99,900,b,28774,30602,0.005623914301395416,0.0074843778274953365,0.0107421875,0.0017306129448115826,0.0025914947036653757,0.0036867172457277775,0.003455879632383585,0.004772927612066269,0.006524150725454092
25,99,900,a,27384,13692,0.00585552491247654,0.007738998159766197,0.02978515625,0.001732050091959536,0.0025906334631145,0.0035757136065512896,0.0034627611748874187,0.004754441324621439,0.006125596817582846
26,99,900,a,25968,12984,0.005945698358118534,0.007731178775429726,0.031494140625,0.0017285188660025597,0.0025890334509313107,0.0037386445328593254,0.0034579404164105654,0.004760201089084148,0.006144925486296415
27,99,900,a,27904,13952,0.0059677548706531525,0.00796743668615818,0.0068359375,0.001752405776642263,0.0025878718588501215,0.0039297230541706085,0.003492861520498991,0.004821846727281809,0.006920150015503168
28,99,900,a,26936,13468,0.005487870890647173,0.007154111284762621,0.0078125,0.0017221968155354261,0.0025873363483697176,0.0037475530989468098,0.0034431179519742727,0.004736045375466347,0.006373724900186062
29,99,900,a,27896,13948,0.0056182160042226315,0.007446035277098417,0.0009765625,0.001753977034240961,0.0025864390190690756,0.0037873475812375546,0.003495428478345275,0.004771782550960779,0.006442480254918337
30,99,900,a,25976,12988,0.005929006729274988,0.007752837613224983,0.018798828125,0.0017311779083684087,0.002584235742688179,0.0036332057788968086,0.003460526466369629,0.004730841610580683,0.006225701421499252
31,99,900,a,27192,13596,0.0055322120897471905,0.007219912018626928,0.021240234375,0.0017538955435156822,0.002583372173830867,0.0035921277012676,0.003493534168228507,0.004740425385534763,0.006143295671790838
32,99,900,a,27408,13704,0.005745749454945326,0.007568277884274721,0.0166015625,0.0017318258760496974,0.002583131892606616,0.0037695388309657574,0.003459299448877573,0.004747246857732534,0.006682598497718573
33,99,900,a,27128,13564,0.006064686458557844,0.007957027293741703,0.001220703125,0.0017452200409024954,0.002583107678219676,0.003499024547636509,0.003480944549664855,0.004707430489361286,0.005930787418037653
34,99,900,a,28056,14028,0.0058975801803171635,0.0077646467834711075,0.00830078125,0.0017429086146876216,0.002582959597930312,0.0038847450632601976,0.0034762483555823565,0.004683186765760183,0.006206501740962267
35,99,900,b,26310,29370,0.00549153471365571,0.007204859051853418,0.00634765625,0.0017276057042181492,0.002582940272986889,0.0038084997795522213,0.003451999044045806,0.004720704164355993,0.006399049423635006
36,99,900,a,28280,14140,0.005866172723472118,0.007898012176156044,0.001220703125,0.0017469648737460375,0.0025828718207776546,0.0043500252068042755,0.0034875287674367428,0.004713980946689844,0.0075046648271381855
37,99,900,a,27520,13760,0.005508142057806253,0.0073544648475945,0.015380859375,0.0017388849519193172,0.0025825086049735546,0.003632666077464819,0.0034710976760834455,0.004726358689367771,0.006176602561026812
38,99,900,a,27352,13676,0.005733384285122156,0.007665461394935846,0.012451171875,0.0017409857828170061,0.0025811491068452597,0.0038399449549615383,0.0034732911735773087,0.0047004674561321735,0.006808568257838488
39,99,900,a,28904,14452,0.0058951787650585175,0.007757952902466059,0.013916015625,0.0017380057834088802,0.0025805176701396704,0.0042024836875498295,0.0034709791652858257,0.004770477768033743,0.007080554496496916
40,99,900,a,26976,13488,0.005735260900110006,0.007526742294430733,0.003662109375,0.0017354396404698491,0.002580115105956793,0.003993252757936716,0.0034665511921048164,0.00472037261351943,0.0068037440069019794
41,99,900,b,26710,29570,0.00556886475533247,0.00741864088922739,0.020751953125,0.0017400085926055908,0.002579799620434642,0.003602131735533476,0.0034777347464114428,0.004736574832350016,0.006239881739020348
42,99,900,a,28112,14056,0.005815621465444565,0.007653733249753714,0.010986328125,0.0017338491743430495,0.0025795227847993374,0.004183230455964804,0.003461812622845173,0.004691574722528458,0.0070818099193274975
43,99,900,a,27320,13660,0.005819737911224365,0.00775139918550849,0.02099609375,0.001739904866553843,0.0025788522325456142,0.003982339985668659,0.0034723265562206507,0.0047255996614694595,0.006894619204103947
44,99,900,a,26952,13476,0.005634545814245939,0.0073556737042963505,0.007080078125,0.0017455199267715216,0.0025786063633859158,0.0037866286002099514,0.003480082843452692,0.004746765363961458,0.006356160156428814
45,99,900,b,26142,29286,0.005684934090822935,0.0075380378402769566,0.00146484375,0.0017433756729587913,0.0025778133422136307,0.0036696388851851225,0.00347795058041811,0.004749585408717394,0.006264984142035246
